Sample;ISYM;Symmetry;Shape;Geometry (lum. area);Heights h_lum (mm);Flux (lm);Lamp sets;mc (C-planes);ng (γ angles);Resolution γ;Interpolation;Luminaire name
sample_01;1;full symmetry;circular;D=530mm;C0=59 C90=59 C180=59 C270=59;4828;1;24;37;5.0°;no;sample_01
sample_02;2;C0-C180;rectangular;1201x38mm;—;2112;1;24;37;5.0°;no;sample_02
sample_03;3;C90-C270;circular;D=350mm;C0=50 C90=50 C180=50 C270=50;609;1;24;37;5.0°;no;sample_03
sample_04;4;quadrant;rectangular;1480x63mm;—;12334;1;24;37;5.0°;no;sample_04
sample_05;0;asymmetric;rectangular;245x250mm;—;9639;1;24;37;5.0°;no;sample_05
sample_06;4;quadrant;rectangular;1208x105mm;C0=51 C90=0 C180=51 C270=0;1983;2;144;73;2.5°;yes;sample_06
sample_07;3;C90-C270;rectangular;104x240mm;—;1800;1;144;73;2.5°;yes;sample_07
sample_08;3;C90-C270;rectangular;560x390mm;—;8460;1;24;37;5.0°;no;sample_08
sample_09;4;quadrant;rectangular;630x400mm;C0=8 C90=8 C180=8 C270=8;11316;1;24;37;5.0°;no;sample_09
sample_10;2;C0-C180;rectangular;1500x37mm;—;3450;1;24;37;5.0°;no;sample_10
